id_medico,nombre_medico,ESPECIALIDAD_nombre_especialidad
664,NORDFELDT Kristoffer,Infectología
665,OLSEN Robin,Medicina del trabajo
666,JANSSON Pontus,Nefrología
667,FERNANDES Gelson,Medicina preventiva y salud pública
668,FREULER Remo,Cardiología
669,GAVRANOVIC Mario,Medicina física y rehabilitación
670,MOUBANDJE Francois,Medicina física y rehabilitación
671,LICHTSTEINER Stephan,Toxicología
672,ELVEDI Nico,Medicina del trabajo
673,DZEMAILI Blerim,Rehabilitación
674,ZAKARIA Denis,Medicina preventiva y salud pública
675,LANG Michael,Pediatría
676,BEHRAMI Valon,Pediatría
677,DRMIC Josip,Endocrinología
678,SHAQIRI Xherdan,Hematología y hemoterapia
679,RODRIGUEZ Ricardo,Hematología y hemoterapia
680,ZUBER Steven,Oftalmología
681,SOMMER Yann,Endocrinología
682,XHAKA Granit,Medicina del deporte
683,BUERKI Roman,Medicina del deporte
684,SCHAER Fabian,Endocrinología
685,MVOGO Yvon,Geriatría
686,AKANJI Manuel,Oncología médica
687,EMBOLO Breel,Nutriología
688,SEFEROVIC Haris,Medicina física y rehabilitación
689,DJOUROU Johan,Urología
690,SLITI Naim,Rehabilitación
691,SKHIRI Ellyes,Anestesiología y reanimación
692,MERIAH Yassine,Urología
693,BADRI Anice,Medicina del deporte
694,CHAALELI Ghaylen,Pediatría
695,HASSEN Mouez,Medicina preventiva y salud pública
696,SRARFI Bassem,Neurología
697,MAALOUL Ali,Alergología
698,KHALIFA Saber,Medicina preventiva y salud pública
699,BEN ALOUANE Yohan,Psiquiatría
700,BRONN Dylan,Toxicología
701,BEN AMOR Mohamed,Medicina aeroespacial
702,KHALIL Ahmed,Alergología
703,NAGUEZ Hamdi,Medicina del deporte
704,HADDADI Oussama,Reumatología
705,KHAOUI Saifeddine,Medicina aeroespacial
706,KHAZRI Wahbi,Oncología médica
707,BEDOUI Rami,Medicina de urgencias
708,BEN YOUSSEF Fakhreddine,Medicina de urgencias
709,SASSI Ferjani,Neumología
710,MATHLOUTHI Aymen,Nutriología
711,BEN MUSTAPHA Farouk,Medicina de urgencias
712,BEN YOUSSEF Syam,Reumatología
713,NANDEZ Nahitan,Oncología radioterápica
714,TORREIRA Lucas,Gastroenterología
715,DE ARRASCAETA Giorgian,Geriatría
716,LAXALT Diego,Urología
717,URRETAVISCAYA Jonathan,Oncología radioterápica
718,VARELA Guillermo,Gastroenterología
719,GODIN Diego,Medicina veterinaria
720,BENTANCUR Rodrigo,Oncología médica
721,PEREIRA Maximiliano,Medicina intensiva
722,MUSLERA Fernando,Medicina intensiva
723,SANCHEZ Carlos,Medicina aeroespacial
724,SILVA Gaston,Pediatría
725,CACERES Martin,Neumología
726,GIMENEZ Jose,Nefrología
727,STUANI Cristhian,Oftalmología
728,CAVANI Edinson,Oftalmología
729,RODRIGUEZ Cristian,Medicina familiar y comunitaria
730,CAMPANA Martin,Anestesiología y reanimación
731,VECINO Matias,Oncología radioterápica
732,SILVA Martin,Hematología y hemoterapia
733,SUAREZ Luis,Urología
734,GOMEZ Maximiliano,Psiquiatría
735,COATES Sebastian,Medicina intensiva
